,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,ndwi,b_g,b_r,mci,ndci,y,x,spatial_ref,time
178,3,0.0209,0.0777,0.1092,0.1373,0.075322114,2.9614566e-06,1.9940906e-05,0.0033999998,0.0186,0.0155,0.0150999995,0.014099999,0.0731,0.074099995,0.023899999,0.025999999,0.80183727,-0.2772093,-0.19802523,-0.5760649,0.73577756,0.7953387,1.4054055,0.2820513,-0.023715425,-1957845.0,3063485.0,3832,2024-01-01
179,3,0.0179,0.0828,0.115399994,0.14899999,0.061149545,1.9119561e-06,1.5095731e-05,0.0032,0.0142,0.0134,0.012399999,0.0117999995,0.0905,0.0769,0.019199999,0.0212,0.8463445,-0.28559098,-0.12093248,-0.64448863,0.7855002,0.7744967,1.3937197,0.23276983,-0.03694429,-1958085.0,3063485.0,3832,2024-01-01
180,3,0.0175,0.0839,0.118599996,0.1515,0.06301175,1.8764733e-06,1.4597871e-05,0.0032,0.0143,0.013499999,0.012399999,0.011899999,0.0906,0.0766,0.019,0.0209,0.8486882,-0.2871708,-0.1338432,-0.65483236,0.7928994,0.7828382,1.4135876,0.22845954,-0.045482848,-1958115.0,3063485.0,3832,2024-01-01
181,2,0.0175,0.0839,0.118599996,0.1515,0.06301175,1.8764733e-06,1.4597871e-05,0.0032,0.0143,0.013499999,0.012399999,0.011899999,0.0906,0.0766,0.019,0.0209,0.8486882,-0.2871708,-0.1338432,-0.65483236,0.7928994,0.7828382,1.4135876,0.22845954,-0.045482848,-1958115.0,3063485.0,3832,2024-01-01
182,2,0.0179,0.0828,0.115399994,0.14899999,0.061149545,1.9119561e-06,1.5095731e-05,0.0032,0.0142,0.0134,0.012399999,0.0117999995,0.0905,0.0769,0.019199999,0.0212,0.8463445,-0.28559098,-0.12093248,-0.64448863,0.7855002,0.7744967,1.3937197,0.23276983,-0.03694429,-1958085.0,3063485.0,3832,2024-01-01
183,2,0.022,0.0806,0.1087,0.1398,0.07088796,2.5890974e-06,1.981178e-05,0.0033999998,0.018299999,0.0185,0.015299999,0.0145,0.0844,0.0779,0.0235,0.026099999,0.8027079,-0.26860252,-0.12584154,-0.5711501,0.72805935,0.7775394,1.3486352,0.28241336,-0.017034706,-1958015.0,3063485.0,3832,2024-01-01
184,6,0.0185,0.0861,0.1219,0.1548,0.06145054,1.6389131e-06,1.5169291e-05,0.0029,0.0139,0.0104,0.011399999,0.0104,0.0951,0.0755,0.0196,0.021699999,0.8628159,-0.28518057,-0.1235023,-0.6462715,0.7864974,0.7874677,1.4157957,0.24503313,-0.06559406,-1958355.0,3063485.0,3832,2024-01-01
185,6,0.0196,0.0879,0.1209,0.15529999,0.073312744,2.2592067e-06,1.667998e-05,0.0033,0.0154,0.0143,0.0132,0.0122,0.0942,0.0818,0.021599999,0.024,0.8433234,-0.27713814,-0.124128304,-0.6353488,0.7758719,0.7784933,1.3754267,0.23960881,-0.03594578,-1958215.0,3063485.0,3832,2024-01-01
186,6,0.0179,0.084,0.1166,0.1513,0.06275468,1.908922e-06,1.4998334e-05,0.0033,0.0144,0.0142,0.0126,0.0117,0.0916,0.0778,0.0196,0.021499999,0.8462477,-0.28601784,-0.120076835,-0.6486752,0.788416,0.7706543,1.3880953,0.23007712,-0.038318917,-1958145.0,3063485.0,3832,2024-01-01
187,6,0.0179,0.0828,0.115399994,0.14899999,0.061149545,1.9119561e-06,1.5095731e-05,0.0032,0.0142,0.0134,0.012399999,0.0117999995,0.0905,0.0769,0.019199999,0.0212,0.8463445,-0.28559098,-0.12093248,-0.64448863,0.7855002,0.7744967,1.3937197,0.23276983,-0.03694429,-1958085.0,3063485.0,3832,2024-01-01
