,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_contrast,glcm_homogeneity,glcm_entropy,glcm_energy,glcm_correlation,glcm_mean
10,2,0.074,0.0911,0.1074,0.1329,0.12429,1.659745e-06,1.6356418e-05,0.0045,0.0898,0.1407,0.0656,0.0414,0.0831,0.1278,0.0909,0.0986,-0.12755907,-0.10357358,0.1152006,-0.10357358,0.1324763,0.3390428,-0.18660714,0.8081264,1.1789242,0.57902974,0.16765648,-0.21303682,400.7619,0.17098413,5.24946,0.16495723,0.8018482,88.52381
11,2,0.068399996,0.0871,0.100099996,0.1222,0.08612027,2.272272e-06,1.6176175e-05,0.0047,0.0563,0.1388,0.045599997,0.0307,0.083,0.1037,0.0579,0.0657,-0.09339159,-0.12025726,0.09985122,-0.12025726,0.12419399,0.45649585,-0.16770186,0.8191489,1.1492537,0.65959495,0.08700208,-0.1994894,481.90475,0.13477428,6.1362486,0.12598816,0.77964985,86.38095
12,2,0.0721,0.0883,0.098799996,0.1214,0.109669715,2.2316992e-06,1.8926545e-05,0.0033,0.0574,0.1725,0.0407,0.0308,0.0743,0.111999996,0.0625,0.0682,-0.14153667,-0.10099749,0.10680682,-0.10099749,0.11327498,0.4978408,-0.15784456,0.81383854,1.1189128,0.64375,0.118322514,-0.20599326,118.5,0.21060029,6.2018414,0.11904762,0.81302756,63.035713
13,2,0.0751,0.093899995,0.0828,0.109699994,0.11303654,3.4484356e-06,1.860889e-05,0.0039999997,0.0594,0.18869999,0.046,0.030599998,0.0733,0.1105,0.0643,0.0695,-0.06085845,-0.11124259,0.09223588,-0.11124259,0.080627926,0.40912005,-0.07760315,0.75478584,0.8817892,0.67963797,0.08121333,-0.28132126,961.881,0.1424362,6.24946,0.11664237,0.64325565,71.13095
14,2,0.0265,0.072399996,0.091699995,0.1144,0.059432037,1.4624715e-06,1.3548433e-05,0.0039,0.0242,0.0942,0.022799999,0.0162,0.086899996,0.074099995,0.0252,0.0289,-0.026875699,-0.4641051,-0.007954472,-0.4641051,0.22063841,0.6676385,-0.22483942,0.8015734,1.2665746,0.35762486,0.011604089,-0.22117874,98.7619,0.17854421,6.160058,0.12256703,0.37497848,61.42857
15,2,0.0359,0.069699995,0.0852,0.105799995,0.076831765,2.6183902e-06,1.9123632e-05,0.0041,0.0244,0.062299997,0.0263,0.018099999,0.079399996,0.0761,0.029,0.0335,-0.03523695,-0.32007572,0.024598215,-0.32007572,0.17521009,0.6018168,-0.20569801,0.805293,1.2223817,0.47174773,0.043895777,-0.21654907,1138.4286,0.09580649,6.044469,0.13573517,0.59369755,76.45238
16,2,0.0369,0.0802,0.0916,0.1166,0.07594397,1.7152964e-06,1.615684e-05,0.0037999998,0.026099999,0.1819,0.023899999,0.0176,0.097399995,0.092199996,0.0332,0.038399998,0.0306878,-0.36976945,0.014498851,-0.36976945,0.19572072,0.6597865,-0.18495934,0.7855918,1.1421447,0.40021694,0.06960554,-0.24131799,297.9762,0.15241303,6.106603,0.12371791,0.6758359,72.4881
17,2,0.0279,0.0806,0.1034,0.1268,0.080992274,2.19931e-06,1.679548e-05,0.0041,0.027099999,0.051,0.022699999,0.0176,0.0809,0.092199996,0.0317,0.0363,-0.12208356,-0.4857143,-0.014741855,-0.4857143,0.24237034,0.6963211,-0.22275797,0.8154574,1.2828784,0.30260304,0.0671296,-0.20400609,39.857143,0.22892934,6.2018414,0.11904762,0.71594566,64.90476
18,2,0.0299,0.0757,0.099999994,0.1232,0.08076561,3.239718e-06,2.1339843e-05,0.0044,0.027099999,0.036399998,0.023599999,0.019,0.0786,0.085999995,0.030299999,0.034399997,-0.119820826,-0.43371212,-0.0012941031,-0.43371212,0.22927621,0.6784741,-0.23881347,0.81168824,1.3210039,0.34767443,0.06369818,-0.20863895,49.42857,0.20769343,6.154222,0.12371791,0.88405997,66.04762
19,2,0.0273,0.078099996,0.1087,0.1321,0.08107214,2.8798163e-06,2.1553053e-05,0.0044,0.0251,0.035299998,0.0224,0.0178,0.0775,0.085,0.028299998,0.0326,-0.16756177,-0.4819734,-0.014471455,-0.4819734,0.25477424,0.71003234,-0.25689822,0.82286143,1.3918054,0.32117647,0.042305365,-0.19496746,51.92857,0.20994146,6.2018414,0.12140523,0.8292987,70.22619
